Username,Section #'s Text Grade <Text>,Exam 1,Exam 2,Exam 3,End-of-Line Indicator
,006E,46,30,45,#
,006I,46,59,43,#
,006J,78,62,45,#
,006F,35,17,25,#
,006D,76,58,52,#
,006D,73,59,48,#
,006B,73.5,58,25,#
,006J,33,48,34,#
,006H,69,53,47,#
,006B,57,62,45,#
,006B,73,62,62,#
,006I,33,34,,#
,006B,46.5,26,36,#
,006C,38.5,50,36,#
,006B,62,72,48,#
,006A,77.5,74,68,#
,006A,55.5,36,32,#
,006A,66.5,63,46,#
,006D,61,51,33,#
,006A,80,53,63,#
,006C,50.5,37,48,#
,006H,100,87,88,#
,006D,80,78,66,#
,006F,73,83,56,#
,006F,42,45,37,#
,006F,57,48,57,#
,006C,82,67,78,#
,006E,53,65,76,#
,006G,84,61,52,#
,006C,46,42,41,#
,006D,45,44,32,#
,006A,17,37,33,#
,006C,43,35,33,#
,006E,53,63,51,#
,006A,86,75,66,#
,006D,82.5,73,60,#
,006C,47,57,33,#
,006C,86,66,72,#
,006F,0,35,,#
,006G,71,74,66,#
,006G,65,52,42,#
,006B,77,64,58,#
,006I,74,53,56,#
,006D,87,66,86,#
,006D,52,48,38,#
,006I,74.5,87,62,#
,006E,81,60,64,#
,006G,93,70,72,#
,006F,79.5,91,84,#
,006B,67,59,59,#
,006I,57,69,68,#
,006B,61,44,36,#
,006G,93,73,77,#
,006H,47,65,32,#
,006B,68,59,63,#
,006G,51,79,48,#
,006H,84.5,65,57,#
,006G,92,69,73,#
,006D,55,47,34,#
,006F,87,68,53,#
,006F,71,61,39,#
,006H,97,74,77,#
,006B,38,51,32,#
,006B,88,80,69,#
,006H,69,47,41,#
,006I,88.5,69,46,#
,006C,76,67,47,#
,006J,80,73,58,#
,006J,59.5,49,51,#
,006E,89.5,70,41,#
,006A,79,52,40,#
,006E,60.5,35,38,#
,006D,76,75,74,#
,006I,54,74,58,#
,006H,40,43,47,#
,006J,74,38,60,#
,006H,59,54,36,#
,006J,64,55,53,#
,006F,66,51,51,#
,006I,28,40,38,#
,006G,90,68,60,#
,006B,66.5,65,51,#
,006J,40.5,42,43,#
,006E,91,85,79,#
,006F,37.5,61,34,#
,006G,63,47,31,#
,006B,77,66,40,#
,006H,60,57,80,#
,006I,49,70,68,#
,006E,96,82,78,#
,006D,74,72,53,#
,006F,61,24,54,#
,006A,65.5,39,37,#
,006G,86,76,66,#
,006I,65,64,53,#
,006H,67,42,43,#
,006C,66,68,53,#
,006H,70,59,49,#
,006J,0,,,#
,006I,84,64,56,#
,006B,70,68,64,#
,006A,80.5,67,63,#
,006E,61.5,62,47,#
,006I,91,82,69,#
,006F,92,75,62,#
,006B,42,30,32,#
,006A,35,55,38,#
,006D,53.5,59,46,#
,006I,33.5,18,35,#
,006G,66,56,63,#
,006A,84,68,43,#
,006G,71.5,67,42,#
,006H,80,75,32,#
,006D,44,24,26,#
,006E,74,45,43,#
,006C,74,61,44,#
,006J,54,51,41,#
,006I,59.5,65,51,#
,006F,73,83,59,#
,006H,79.5,55,48,#
,006F,54,75,60,#
,006J,46.5,48,47,#
,006G,72,49,62,#
,006E,38,55,24,#
,006B,71,46,,#
,006F,95.5,57,61,#
,006H,74,61,39,#
,006I,29,50,21,#
,006A,83,67,76,#
,006F,89,61,68,#
,006A,62,60,41,#
,006C,80,65,38,#
,006I,43,37,45,#
,006B,32,46,29,#
,006I,70,52,41,#
,006D,92,80,67,#
,006J,60,48,27,#
,006I,92,92,89,#
,006B,83,48,42,#
,006H,69,49,61,#
,006F,90,87,81,#
,006E,42,47,41,#
,006E,88,85,52,#
,006G,82,82,47,#
,006H,66,65,33,#
,006E,90,79,62,#
,006J,82,93,77,#
,006E,49.5,27,28,#
,006C,80,51,38,#
,006E,72.5,41,30,#
,006B,64,56,60,#
,006C,60,59,65,#
,006G,69,50,47,#
,006D,55,26,47,#
,006J,72.5,68,50,#
,006A,75,65,51,#
,006G,77,55,47,#
,006J,45.5,28,50,#
,006C,81,56,61,#
,006C,56.5,42,36,#
,006D,71,67,74,#
,006D,96,65,75,#
,006G,100,83,63,#
,006A,57.5,57,62,#
,006J,89,70,54,#
,006G,78,77,79,#
,006A,45,68,58,#
,006F,76,87,61,#
,006E,91,80,66,#
,006I,46.5,23,22,#
,006D,79,69,43,#
,006I,80,53,31,#
,006J,51.5,56,53,#
,006J,47.5,35,39,#
,006C,56,33,48,#
,006J,39.5,34,,#
,006D,53,63,,#
