Username,Section #'s Text Grade <Text>,Exam 1,Exam 2,Exam 3,End-of-Line Indicator
,001F,81,74,65,#
,001I,65,66,50,#
,001B,31,40,40,#
,001A,65,77,72,#
,001C,88.5,78,76,#
,001I,41.5,34,15,#
,001I,61,75,57,#
,001F,44,58,21,#
,001K,70,70,44,#
,001A,78,97,77,#
,001C,45,43,49,#
,001B,79,73,64,#
,001C,72.5,59,53,#
,001B,47.5,78,65,#
,001C,69,56,29,#
,001C,50.5,55,32,#
,001F,49,69,67,#
,001C,66,66,60,#
,001K,86,74,59,#
,001K,53,57,81,#
,001F,51.5,50,36,#
,001B,62,57,41,#
,001I,55,62,46,#
,001B,71,61,45,#
,001E,79,73,47,#
,001C,72,67,29,#
,001B,66,76,58,#
,001A,80.5,79,85,#
,001K,39.5,67,44,#
,001C,70.5,57,34,#
,001F,71,84,37,#
,001E,85,62,69,#
,001F,81,65,44,#
,001B,43.5,61,36,#
,001B,70,62,57,#
,001F,45.5,57,32,#
,001H,87,75,72,#
,001C,78,82,54,#
,001A,47.5,74,36,#
,001K,63,69,51,#
,001F,69,62,55,#
,001C,73.5,74,40,#
,001K,65,55,31,#
,001I,32.5,61,51,#
,001B,67,65,61,#
,001B,57,62,34,#
,001I,25,39,30,#
,001H,66,73,43,#
,001L,55.5,52,47,#
,001C,45,61,29,#
,001E,96,80,88,#
,001F,93,72,47,#
,001H,49,58,53,#
,001J,87,60,53,#
,001J,70.5,76,57,#
,001K,79,70,68,#
,001I,77,68,47,#
,001A,84,63,40,#
,001I,60,83,43,#
,001J,68,53,68,#
,001J,74,47,41,#
,001L,95,99,96,#
,001K,55,44,30,#
,001I,95,63,56,#
,001E,48.5,76,74,#
,001I,55.5,79,62,#
,001C,62,50,52,#
,001F,62,64,62,#
,001L,64,64,30,#
,001H,50,60,44,#
,001B,66.5,43,45,#
,001H,83,57,35,#
,001K,94,86.5,82,#
,001F,62,88,80,#
,001H,43.5,70,36,#
,001C,63,34,24,#
,001J,94,90,82,#
,001J,82,96,66,#
,001K,77,87,68,#
,001I,87,72,74,#
,001L,55,72,43,#
,001E,98.5,85,99,#
,001L,93,98,90,#
,001H,71,82,42,#
,001J,89,80,46,#
,001I,68,61,57,#
,001I,74.5,81,43,#
,001H,80,71,55,#
,001H,92,60,78,#
,001J,85,74,39,#
,001L,94,88,76,#
,001B,76.5,57,40,#
,001K,37.5,52,36,#
,001L,52,50,53,#
,001J,94,89,69,#
,001B,90,83,73,#
,001A,42.5,27,39,#
,001K,89,84,76,#
,001K,84,89,76,#
,001I,67.5,86,41,#
,001H,66,76,41,#
,001E,83,81,44,#
,001E,82,88,64,#
,001K,84.5,81,78,#
,001E,65,66,61,#
,001E,84,69,77,#
,001E,96,74,83,#
,001F,91,74,68,#
,001L,99,83,96,#
,001A,75,61,66,#
,001J,65,40,45,#
,001J,59,76,52,#
,001I,54.5,77,42,#
,001L,69,55,74,#
,001J,79,76,76,#
,001I,74,66,52,#
,001A,76,80,70,#
,001A,58,69,68,#
,001L,78,72,60,#
,001C,73,85,38,#
,001K,94,78,86,#
,001A,88,57,42,#
,001B,93.5,87,92,#
,001J,83.5,53,44,#
,001K,47.5,63,49,#
,001I,61,88,42,#
,001E,83.5,75.5,76,#
,001A,55,64,53,#
,001J,62,70,68,#
,001C,91,94,72,#
,001I,92,78,84,#
,001K,100,89,77,#
,001I,38.5,48,38,#
,001F,57,60,50,#
,001A,61,17,24,#
,001H,73,74,36,#
,001J,90,86,69,#
,001H,63,53,30,#
,001K,100,95,84,#
,001E,76,79,58,#
,001L,96,79,77,#
,001H,70.5,79,52,#
,001B,62.5,75,66,#
,001F,92,84,83,#
,001E,86,88,91,#
,001L,86,80,61,#
,001H,96,89,72,#
,001L,84.5,60,69,#
,001C,47,53,53,#
,001A,73.5,79,72,#
,001J,65.5,82,64,#
,001C,77,64,66,#
,001E,83.5,54,48,#
,001I,57.5,82,62,#
,001K,72,57,63,#
,001H,87,88,81,#
,001F,91,96,84,#
,001J,64,83,57,#
,001L,48,52,26,#
,001C,57,40,24,#
,001H,58,56,76,#
,001L,71.5,53,39,#
,001L,51,65,46,#
,001J,69,82,54,#
,001A,97,90,66,#
,001F,75,74,58,#
,001I,59,74,57,#
,001A,91,78,88,#
,001L,77.5,56,29,#
,001B,58,72,43,#
,001L,44.5,60,68,#
,001F,89,83,63,#
,001A,73,68,50,#
,001F,54,54,62,#
,001H,96,98,94,#
,001F,93.5,81,77,#
,001I,43.5,76,62,#
,001J,74,80,78,#
,001E,78,67,75,#
,001L,25,44,21,#
,001J,85,83,76,#
,001F,97,68,72,#
,001J,86,63,48,#
,001I,72,70,29,#
,001A,91,88,76,#
,001H,65,56,44,#
,001E,81,78,63,#
,001J,96,89,90,#
,001B,40,71,43,#
,001B,41.5,46,50,#
,001E,71.5,88,93,#
,001E,77,86,68,#
,001E,87,81,82,#
,001A,86,75,78,#
,001F,80,74,54,#
,001A,64,83,62,#
,001B,56.5,87,57,#
,001F,89,82,51,#
,001B,78.5,83,51,#
,001I,49.5,68,62,#
,001A,76,87,84,#
,001K,76,56,56,#
,001E,95,96,83,#
,001H,84.5,79,60,#
,001A,25,47,37,#
,001A,87,95,68,#
,001L,69,66,62,#
,001K,73,55,60,#
,001C,82,62,30,#
