Username,Section #'s Text Grade <Text>,Exam 1,Exam 2,Exam 3,End-of-Line Indicator
,005D,59,16,27,#
,003F,67,31,28,#
,003F,20,17,18,#
,005F,76,54,56,#
,005H,72,40,47,#
,003C,61,42,48,#
,005E,64.5,36,41,#
,005J,39,65,56,#
,003K,58,81,53,#
,003F,87,70,62,#
,003D,63,46,51,#
,003I,72,60,74,#
,005K,47.5,36,25,#
,005I,58.5,60,39,#
,005B,29,41,35,#
,003C,52.5,36,30,#
,003L,0,,,#
,003E,71,42,63,#
,005D,53.5,41,36,#
,003I,74,52,67,#
,003L,32.5,37,38,#
,005J,84,84,67,#
,005B,36,,,#
,003D,83.5,53,50,#
,003A,27.5,,,#
,005H,58,36,36,#
,003C,45.5,31,,#
,005D,65,47,56,#
,005J,70.5,60,57,#
,003E,0,,,#
,003H,10,26,28,#
,003B,61,61,67,#
,003K,36,37,17,#
,003L,54,54,64,#
,003C,77,71,65,#
,003F,50.5,39,27,#
,005E,54,43,46,#
,003E,50.5,24,38,#
,003K,24.5,45,28,#
,003B,54,48,47,#
,003B,85,75,52,#
,003F,66,44,38,#
,005J,88,72,76,#
,005A,69,56,67,#
,003H,53,49,28,#
,003C,100,86,88,#
,005E,45.5,41,43,#
,005D,74,48,30,#
,003B,58.5,42,50,#
,005C,53.5,35,54,#
,005D,54.5,76,67,#
,003D,53.5,46,34,#
,003D,87,69,50,#
,005I,42,33,45,#
,003C,62.5,52,30,#
,003D,63.5,23,20,#
,003G,71,33,40,#
,003B,35.5,36,25,#
,003I,46,39,28,#
,003E,58.5,72,42,#
,005F,88,65,71,#
,005C,47,57,31,#
,003F,45.5,46,39,#
,003E,68,63,58,#
,003G,57.5,59,61,#
,005D,26.5,62,41,#
,003A,90,62,66,#
,003K,27.5,,,#
,003D,57.5,28,47,#
,003C,40.5,35,47,#
,005D,46,42,29,#
,003G,54.5,43,43,#
,003H,44.5,57,53,#
,005C,41,36,37,#
,003G,36,14,39,#
,003C,70,48,53,#
,005F,52,31,22,#
,003E,75,59,38,#
,003H,65,47,51,#
,003L,81,72,49,#
,003I,42,20,31,#
,005I,22,,,#
,005K,29,58,30,#
,005E,85,53,50,#
,005D,71,32,55,#
,003D,83,73,78,#
,005C,67.5,77,41,#
,003L,57,76,33,#
,005F,84.5,86,74,#
,003I,68,65,65,#
,005F,73,63,74,#
,005I,92,91,87,#
,005E,55.5,56,28,#
,005K,74.5,61,55,#
,005D,57,57,53,#
,003D,85,65,43,#
,003H,50,66,50,#
,003K,74,52,64,#
,003I,84,74,66,#
,003A,82,69,62,#
,005J,65,37,54,#
,005C,60.5,56,64,#
,005A,92,77,74,#
,003G,86,63,60,#
,003E,88,70,61,#
,003A,64.5,40,37,#
,003L,63.5,57,66,#
,003I,62,60,30,#
,005C,75,71,84,#
,003E,91.5,62,72,#
,003A,71,35,56,#
,005C,85,57,50,#
,005F,66,52,64,#
,003K,81,57,65,#
,003K,81,58,67,#
,005I,93.5,75,79,#
,005H,94,67,53,#
,005D,43,55,60,#
,005E,66,59,54,#
,005J,58.5,,37,#
,003B,83,72,49,#
,003A,84,78,52,#
,003G,60,38,30,#
,005F,90,72,48,#
,005I,56,61,40,#
,003A,53.5,54,50,#
,003L,94.5,79,96,#
,005J,54,55,67,#
,003G,71,53,36,#
,005H,70,51,64,#
,003I,54,39,38,#
,003D,79.5,64,70,#
,005A,96,77,82,#
,003K,67,75,69,#
,003E,87.5,74,92,#
,003C,62,48,39,#
,003G,29,39,26,#
,003H,74,54,65,#
,003B,86,50,63,#
,005F,67,75,84,#
,003B,93,55,92,#
,003I,44,52,36,#
,005E,51.5,52,38,#
,005A,70,64,56,#
,003L,83,69,65,#
,005H,72,65,54,#
,005H,53,52,46,#
,005A,73.5,41,51,#
,005A,64,77,42,#
,003K,50.5,61,51,#
,003K,80,65,50,#
,005A,68,54,51,#
,003K,96,54,85,#
,003C,56.5,51,45,#
,005A,82.5,89,73,#
,003C,84,70,60,#
,003L,35,42,49,#
,003L,53.5,64,40,#
,005F,79,56,61,#
,003C,77,62,40,#
,005C,72,78,63,#
,005F,50,55,44,#
,003A,74,53,51,#
,003L,41,66,52,#
,003F,43,56,37,#
,003L,84,70,59,#
,003H,55,49,58,#
,003K,51,35,41,#
,003K,73,69,58,#
,003L,59.5,50,43,#
,003C,74,72,74,#
,005E,51.5,46,40,#
,003H,77,73,59,#
,003H,66,,47,#
,003B,96,80,93,#
,005A,70,62,58,#
,005H,58,67,49,#
,003F,80,62,46,#
,003A,55,61,45,#
,003D,91,65,78,#
,005B,57,49,51,#
,003E,67,37,27,#
,005F,69.5,37,40,#
,003L,69.5,58.5,57,#
,005E,86,83,68,#
,003H,83,78,83,#
,005K,51.5,22,41,#
,003B,76,85,80,#
,003F,73,70,51,#
,003B,48,57,29,#
,003E,67,70,43,#
,005E,87,77,60,#
,003H,85,63,68,#
,003I,50.5,30,39,#
,005H,89.5,79,92,#
,005F,75,63,42,#
,003K,95,82,83,#
,005B,82,75,61,#
