Username,Section #'s Text Grade <Text>,Exam 1,Exam 2,Exam 3,End-of-Line Indicator
,002C,94,74,92,#
,002I,88,82,61,#
,002D,70,63,41,#
,002D,64.5,56,51,#
,002A,89,74,80,#
,002H,95,81,79,#
,002F,93.5,68,55,#
,002B,47,36,39,#
,002J,81,42,42,#
,002D,42,34,16,#
,002J,73,56,41,#
,002F,83,56,55,#
,002E,92,93,96,#
,002I,81,50,38,#
,002F,91.5,72,78,#
,002A,44,55,16,#
,002F,33,12,16,#
,002I,72,48,34,#
,002C,87,86,80,#
,002G,45.5,50,26,#
,002J,57.5,70,38,#
,002D,58,46,57,#
,002E,74.5,54,54,#
,002B,45.5,50,53,#
,002B,66,38,51,#
,002B,89,67,50,#
,002J,69,76,41,#
,002A,83,84,62,#
,002D,51,51,32,#
,002A,61.5,55,44,#
,002I,85,47,62,#
,002F,53.5,40,28,#
,002F,82,52,56,#
,002I,47,53,66,#
,002D,59.5,54,41,#
,002G,90,82,89,#
,002B,86.5,41,40,#
,002A,71,75,74,#
,002B,50,72,63,#
,002I,84,59,53,#
,002B,92,71,67,#
,002D,77,45,52,#
,002J,75,67,70,#
,002J,78,63,61,#
,002D,65,53,69,#
,002F,71,71,43,#
,002F,93.5,74,68,#
,002G,90.5,,48,#
,002I,78,45,60,#
,002I,79,58,58,#
,002J,90.5,59,57,#
,002D,50,63,56,#
,002J,60.5,34,46,#
,002B,55.5,63,34,#
,002A,95,90,84,#
,002B,89,50,43,#
,002E,83,86,75,#
,002A,87,74,73,#
,002C,88,77,69,#
,002D,69,37,49,#
,002A,92,75,58,#
,002E,95,95,86,#
,002B,96,75,66,#
,002A,90,81,74,#
,002I,95,63,51,#
,002G,76,68,42,#
,002H,100,73,81,#
,002E,80.5,69,92,#
,002H,80,67.5,57,#
,002G,96,86,96,#
,002C,92,81,71,#
,002J,70,60,53,#
,002F,94,70,72,#
,002A,95,95,78,#
,002A,93,76,52,#
,002D,93,69,67,#
,002G,40,54,50,#
,002G,81,74,89,#
,002B,46,69,48,#
,002B,,68,70,#
,002G,81.5,72,50,#
,002H,89,67,49,#
,002F,83.5,56,42,#
,002G,69.5,60.5,55,#
,002A,88,83,68,#
,002F,85,79,85,#
,002H,100,86,88,#
,002G,92,91,88,#
,002I,82,44,67,#
,002G,92,73,69,#
,002F,75,67,33,#
,002F,81,75,60,#
,002F,75.5,55,58,#
,002H,86,87,72,#
,002E,93,97,91,#
,002I,96,86,83,#
,002J,57,45,49,#
,002B,54,54,42,#
,002E,82.5,64,50,#
,002H,81,65,61,#
,002D,51,64,46,#
,002G,89,75,71,#
,002A,80,65,58,#
,002H,92,84,63,#
,002H,86,76,68,#
,002C,85.5,70,68,#
,002J,90,68,65,#
,002A,81,70,68,#
,002D,69,75,61,#
,002A,88,78,78,#
,002A,96,99,70,#
,002H,98.5,87,72,#
,002B,73.5,46,31,#
,002E,73,65,65,#
,002I,82,46,51,#
,002H,100,81,82,#
,002F,94,88,80,#
,002J,68,60,31,#
,002C,61,86,50,#
,002E,62,64,29,#
,002J,82,79,70,#
,002I,52,45,45,#
,002G,86.5,80,79,#
,002A,91,82,93,#
,002B,99,79,93,#
,002J,72,43,39,#
,002H,79,56,65,#
,002E,68.5,56,55,#
,002J,87,82,86,#
,002F,79,65,55,#
,002H,88,78,72,#
,002E,95,92,86,#
,002F,78,60,70,#
,002I,96,73,56,#
,002H,86,68,71,#
,002G,93,100,83,#
,002I,92,72,75,#
,002C,89.5,83,73,#
,002I,96,89,51,#
,002E,96.5,82,65,#
,002G,76,67,49,#
,002E,89,53,53,#
,002G,93,66,56,#
,002E,92,92,88,#
,002A,66,87,82,#
,002D,98.5,74,61,#
,002C,29.5,40,21,#
,002F,92.5,79,52,#
,002C,88,52,75,#
,002B,87,63,65,#
,002J,92,76,72,#
,002H,67,88,52,#
,002E,86,70,56,#
,002G,96,79,81,#
,002H,86,86,53,#
,002E,86,49,47,#
,002E,96,85,90,#
,002C,81.5,64,59,#
,002E,70,59,49,#
,002E,97,76,78,#
,002E,76,74,56,#
,002F,53,43,36,#
,002H,74,47,45,#
,002A,56,47,54,#
,002J,78.5,67,70,#
,002G,55.5,72,60,#
,002I,75.5,70,62,#
,002F,83,84,59,#
,002A,86,85,91,#
,002G,92,70,26,#
,002J,87.5,73,62,#
,002A,81,70,57,#
,002G,87.5,75,63,#
,002H,64,61,58,#
,002I,92,84,85,#
,002H,78.5,83,88,#
,002H,88.5,60,66,#
,002H,72.5,50,52,#
,002B,99.5,77,71,#
,002G,58.5,55,72,#
,002F,58,52,39,#
,002I,91,55,76,#
,002C,92.5,73,55,#
,002D,69.5,88,72,#
,002A,78,70,44,#
,002C,87,84,58,#
,002C,90.5,92,91,#
,002C,98,85,91,#
,002G,92.5,69,91,#
,002J,89,46,62,#
,002B,72,57,35,#
,002H,93,75,83,#
,002E,73,76,60,#
,002H,99.5,92,96,#
,002C,91,71,69,#
,002A,86,87,53,#
,002C,94,82,74,#
,002C,95,80,70,#
,002D,71,75,66,#
,002E,94,77,80,#
,002C,98,92,92,#
,002G,80,67,71,#
,002E,74,53,55,#
,002I,52.5,53,41,#
,002C,74.5,71,45,#
,002A,65,36,36,#
,002F,89,69,92,#
,002J,48,46,28,#
