Username,Section #'s Text Grade <Text>,Exam 1,Exam 2,Exam 3,End-of-Line Indicator
,004J,69.5,62,54,#
,004H,49,23,32,#
,004H,60,67,68,#
,004H,51,60,49,#
,004A,58.5,46,43,#
,004K,64,69,64,#
,004I,85.5,61,53,#
,004I,66,74,48,#
,004E,61.5,77,59,#
,004H,34,34,55,#
,004A,89,78,47,#
,004I,68,25,43,#
,004F,64,51,41,#
,004B,40.5,52,40,#
,004J,45,64,31,#
,004J,48,56,39,#
,004D,29.5,60,59,#
,004B,37.5,42,45,#
,004B,76,40,55,#
,004J,39.5,37,,#
,004H,98,80,70,#
,004J,90,78,57,#
,004G,49,43,60,#
,004K,84,71,71,#
,004D,37.5,40,36,#
,004G,89,75,69,#
,004G,54,42,31,#
,004F,83,60,65,#
,004G,87,92,84,#
,004A,75,39,34,#
,004D,61,42,35,#
,004J,87,58,57,#
,004G,78,49,41,#
,004J,87,65,62,#
,004D,61,51,51,#
,004G,42.5,53,47,#
,004F,58,33,41,#
,004I,30.5,41,47,#
,004J,37,39,27,#
,004K,53.5,59,39,#
,004J,71,41,40,#
,004J,45,58,57,#
,004C,84,65,64,#
,004A,82,61,58,#
,004H,26,58,49,#
,004K,54,39,23,#
,004G,58,50,47,#
,004D,70,45,50,#
,004J,76,79,66,#
,004K,53,75,49,#
,004I,78,70,79,#
,004A,88,59,30,#
,004E,88,97,100,#
,004G,55,42,48,#
,004E,70,32,55,#
,004K,65,46,62,#
,004A,73,59,58,#
,004E,81,60,47,#
,004D,72.5,48,33,#
,004K,73,62,43,#
,004J,64,60,57,#
,004E,73,63,51,#
,004G,91,90,80,#
,004K,72,70,58,#
,004K,53,57,47,#
,004J,83,58,54,#
,004B,43,69,44,#
,004G,39,25,35,#
,004I,56,51,29,#
,004D,88,79,65,#
,004K,53.5,47,59,#
,004K,29.5,36,51,#
,004F,76,86,80,#
,004D,92,82,67,#
,004F,57,30,,#
,004F,76.5,68,64,#
,004J,79.5,51,32,#
,004I,71,61,46,#
,004J,86,85,53,#
,004D,69,54,50,#
,004G,54,34,26,#
,004A,86,79,59,#
,004G,44,60,47,#
,004K,66,58,53,#
,004F,51,54,51,#
,004F,48,40,40,#
,004D,41.5,59,41,#
,004J,88,88,68,#
,004F,80,60,55,#
,004A,77,61,51,#
,004B,33,62,13,#
,004G,75.5,49,63,#
,004J,41,51,42,#
,004F,56,61,42,#
,004B,97,90,92,#
,004J,67,54,54,#
,004G,20,68,42,#
,004H,81,91,,#
,004D,39.5,52,44,#
,004F,80,58,45,#
,004A,43.5,58,25,#
,004J,50.5,63,42,#
,004A,69,53,31,#
,004I,58,67,50,#
,004C,85,94,71,#
,004F,34,42,62,#
,004D,48,54,45,#
,004B,46.5,56,57,#
,004C,72,54,58,#
,004H,76,54,45,#
,004K,80,83,55,#
,004I,79,68,58,#
,004A,69,70,43,#
,004K,94,91,74,#
,004C,92,91,89,#
,004E,82,81,54,#
,004I,84,77,90,#
,004H,72,67,29,#
,004A,77,64,64,#
,004A,86,80,73,#
,004C,72,63,75,#
,004E,82.5,66,61,#
,004J,60,90,75,#
,004I,76,76,65,#
,004A,77,78,50,#
,004E,90,77,80,#
,004A,85,86,78,#
,004E,78.5,55,42,#
,004G,87,86,82,#
,004C,62,66,50,#
,004H,85,72,78,#
,004D,87,65,80,#
,004I,68,66,70,#
,004G,61,76,64,#
,004H,79,72,56,#
,004D,86.5,74,70,#
,004C,86,60,56,#
,004D,76,73,70,#
,004B,73,84,36,#
,004I,78,86,61,#
,004B,64,65,53,#
,004D,49,31,50,#
,004H,90,91,74,#
,004G,82,82,58,#
,004A,90,98,82,#
,004E,85.5,82,59,#
,004K,91,79,52,#
,004A,94,91,87,#
,004D,82.5,92,69,#
,004E,72.5,67,43,#
,004H,79,81,72,#
,004E,96,69,64,#
,004B,90,91,75,#
,004K,92,80,61,#
,004F,73,80,77,#
,004D,94,86,78,#
,004K,24,22,,#
,004E,69.5,66,59,#
,004K,68,76,66,#
,004I,69,63,46,#
,004C,69,49,68,#
,004F,85,74,65,#
,004F,57,59,62,#
,004C,82,65,47,#
,004G,44,59,54,#
,004I,75,73,54,#
,004E,66.5,66,49,#
,004K,53.5,59,46,#
,004C,66.5,48,54,#
,004B,79,76.5,56,#
,004I,76.5,69,58,#
,004B,89,69,50,#
,004E,80,83,65,#
,004B,60.5,50,50,#
,004I,48.5,48,44,#
,004I,88,87,79,#
,004I,96,96,77,#
,004D,85,80,74,#
,004B,98.5,91,64,#
,004H,80,80,72,#
,004F,92,86,61,#
,004G,84,81,48,#
,004E,93.5,71,59,#
,004B,55.5,50,50,#
,004E,80.5,51,61,#
,004C,77.5,84,76,#
,004C,55,56,34,#
,004D,74,75,84,#
,004H,84,75,70,#
,004I,66,44,59,#
,004B,47,38,28,#
,004B,94,88,64,#
,004E,78,58,67,#
,004I,52,42,64,#
,004E,79,83,67,#
,004E,75,67,46,#
,004F,76,68,55,#
,004H,39,60,44,#
,004C,53,47,42,#
,004F,68.5,76,56,#
,004C,64,56,52,#
,004J,37.5,48,46,#
,004C,92,100,55,#
,004G,75,46,51,#
,004B,76,81,67,#
,004E,96,93,65,#
,004G,63,64,58,#
,004C,90,62,55,#
,004J,96,99,78,#
,004A,66,43,63,#
,004J,84.5,50,60,#
,004H,76,80,47,#
,004H,69,34,33,#
,004D,71,66,44,#
,004C,70.5,69,48,#
,004C,74,56,36,#
,004H,91,88,51,#
,004B,81,69.5,39,#
,004E,69.5,61,36,#
,004G,91,91,82,#
,004H,46.5,76,92,#
,004C,87,81,75,#
,004C,67,49,51,#
,004G,77,53,44,#
